"","HbTrop","HbTemp"
"GRMZM5G807592",0.244015988050499,0
"GRMZM5G862955",0.420597198339381,0.0927367536480341
"GRMZM5G876913",0.637456872699941,0
"GRMZM5G881135",0.528033292038719,0
"GRMZM5G892769",0.572605382572829,0.321947459892736
"Zm00001d000482",0.311114145445026,0.318220619786076
"Zm00001d000501",0.364798623320028,0.353121647103918
"Zm00001d000502",0.308873761144655,0.243642730723391
"Zm00001d000508",0.270877738941455,0.325992664729735
"Zm00001d000524",0,0.186458376546243
"Zm00001d000526",0,0.383249927581077
"Zm00001d000545",0.222189944145013,0.164277777961736
"Zm00001d000551",0.0994791885279495,0.106808984477801
"Zm00001d000640",0.213091786789539,0.392513601739048
"Zm00001d000800",0,0.286152725075787
"Zm00001d000824",0.387351988934016,0.548479338264527
"Zm00001d000825",0.116967012649162,0.56666054057478
"Zm00001d000849",0,0.538531701014458
"Zm00001d000874",0.584628733044493,0.740010792244713
"Zm00001d000967",0,0.851569259548986
"Zm00001d000970",0,0
"Zm00001d000986",0.46136674906477,0.0830345759007151
"Zm00001d001005",0,0.149599228597456
"Zm00001d001006",0,0.188304131315531
"Zm00001d001076",0.817452379418134,0.700925663254091
"Zm00001d001080",0,0.173373112516254
"Zm00001d001082",0.34466683913202,0.482896166077889
"Zm00001d001083",0,0.148972595370291
"Zm00001d001087",0.0718483784453506,0.338952268234129
"Zm00001d001172",0,0.240938555775836
"Zm00001d001230",0.318931543968635,0.534155156572179
"Zm00001d001250",0.607330611519316,0.630327341119499
"Zm00001d001276",0.373001500893829,0.0659915358479714
"Zm00001d001300",0.633338507104236,0.133860454832259
"Zm00001d001301",0.336911775411405,0.120873468504762
"Zm00001d001307",0.0129445079868259,0.257319624225811
"Zm00001d001321",0.737278600690254,0.10066183756584
"Zm00001d001399",0.951641580064568,0.89495856804836
"Zm00001d001432",0.276245826586172,0.326180161851201
"Zm00001d001471",0,0.0848714772895943
"Zm00001d001472",0.52259678935244,0.425994100008341
"Zm00001d001476",0.0680125063588,0.484455815388355
"Zm00001d001490",0.501830295063563,0.622927969835778
"Zm00001d001513",0.0869017367503016,0.590243576481736
"Zm00001d001527",0.31556823393668,0.551102484852013
"Zm00001d001551",0.799813359234842,0.678481063201086
"Zm00001d001563",0.44706864637814,0.245426574996305
"Zm00001d001566",0.160271763219362,0.129168696042606
"Zm00001d001575",0.0587754319385183,0.223829382517334
"Zm00001d001686",0.507396057472206,0.175749204161541
"Zm00001d001700",0.341673861465147,0.458270155400466
"Zm00001d001754",0.763827165517886,0.790902798306096
"Zm00001d001756",0.318452844591494,0.467223894667708
"Zm00001d001762",0,0.449202957617587
"Zm00001d001763",0.0580524257512644,0.215393010495729
"Zm00001d001765",0,0.208589998566761
"Zm00001d001766",0,0
"Zm00001d001767",0.331259648330111,0.285660437883684
"Zm00001d001769",0,0
"Zm00001d001771",0.709613664590437,0.615468447416261
"Zm00001d001774",0,0
"Zm00001d001779",0.293982820491816,0.390360427122584
"Zm00001d001780",0.127896071903593,0.245249608443203
"Zm00001d001781",0.381838880837694,0.396551762061146
"Zm00001d001784",0.471750236494748,0.358469680579902
"Zm00001d001785",0.225249623439339,0.306854497303956
"Zm00001d001786",0.280206295159703,0.393810842232369
"Zm00001d001787",0.174666450839799,0.365584011516506
"Zm00001d001788",0,0.119384452240785
"Zm00001d001789",0.453791090017227,0.568470964089529
"Zm00001d001790",0.160975773772941,0.382700490796958
"Zm00001d001797",0.12989842270966,0.425463210512547
"Zm00001d001798",0.679434947642472,0.292762178005281
"Zm00001d001799",0,0.161748342749923
"Zm00001d001800",0.368914626217858,0.30907285402436
"Zm00001d001802",0,0.224839784732732
"Zm00001d001803",0.142551465119742,0.312917512569093
"Zm00001d001804",0.299363853240668,0.694565985921448
"Zm00001d001807",0.0531691994934644,0.538600633625716
"Zm00001d001808",0.329504511008423,0.0847225984196342
"Zm00001d001809",0.312316978459434,0.644541037285682
"Zm00001d001811",0.220162482057858,0.844054697424369
"Zm00001d001813",0.792627533601359,0.771572534052763
"Zm00001d001814",0.420841376489893,0.28671521122886
"Zm00001d001817",0.589806299800839,0.575067575638728
"Zm00001d001818",0.225921130914392,0.420673179646594
"Zm00001d001824",0.733225622937507,0.437042713481823
"Zm00001d001825",0.889854509161465,0.437373139084473
"Zm00001d001826",0.561628232959359,0.399812494845043
"Zm00001d001827",0.747767782580644,0.785174291281638
"Zm00001d001828",0.446931099130467,0.103886498894395
"Zm00001d001830",0.0970834851479448,0.512113692116841
"Zm00001d001831",0,0.0308724682340906
"Zm00001d001832",0,0.0645024133223868
"Zm00001d001834",0.808272690682789,0.574276432525811
"Zm00001d001835",0.172464650987095,0.588689520246064
"Zm00001d001837",0.290787957248884,0.101158624068681
"Zm00001d001839",0.0821327384319732,0.39792374278448
"Zm00001d001843",0.420279703295382,0.439043183948034
"Zm00001d001844",0,0.420089897411544
"Zm00001d001846",0.437499223924451,0.387611594428996
"Zm00001d001847",0.736048198489947,0.651079631526623
"Zm00001d001848",0,0.22034588702086
"Zm00001d001849",0.0254392367328195,0.43402154007181
"Zm00001d001855",0.530114667974784,0.782822224073154
"Zm00001d001856",0.44387934490139,0.629052375561435
"Zm00001d001858",0.559813820915263,0.271119763973158
"Zm00001d001859",0,0.0720287620074504
"Zm00001d001860",0.962902128592835,0.841607769957774
"Zm00001d001862",0,0
"Zm00001d001865",0.570876437704659,0.528097747981609
"Zm00001d001866",0.339545635469108,0.254841387178991
"Zm00001d001868",0.343629897058775,0.515126922848805
"Zm00001d001869",0.730048982022196,0.337730668933663
"Zm00001d001870",0.671870987058978,0.594997803719673
"Zm00001d001871",0.827542235621942,0.266715235604415
"Zm00001d001877",0.632528991982846,0.303460587489404
"Zm00001d001879",0.405980518530085,0.511812497537906
"Zm00001d001880",0.108708620444064,0.0364217695360075
"Zm00001d001881",0.865576570552059,0.461500313506306
"Zm00001d001882",0.680607344283943,0.781274044322928
"Zm00001d001883",0.362772546129101,0.400365245792931
"Zm00001d001884",0.248099728808076,0.257458861178639
"Zm00001d001895",0.331755789260574,0.744306772452085
"Zm00001d001896",0.204412955448052,0.189511852149421
"Zm00001d001897",0.110211634325398,0.0225289788838051
"Zm00001d001898",0.492131753183289,0.167107326103382
"Zm00001d001899",0.126159262332851,0.392460166961221
"Zm00001d001900",0.836331113191675,0.803100380319392
"Zm00001d001901",0,0.29498299390754
"Zm00001d001902",0.389204253466663,0.621772608546965
"Zm00001d001903",0.697155749961691,0.889003574299251
"Zm00001d001905",0.44898620662091,0.239081106066873
"Zm00001d001907",0,0
"Zm00001d001908",0.501701733278233,0.594224553531931
"Zm00001d001909",0.68483590239613,0.647530495020629
"Zm00001d001913",0,0.280541092061626
"Zm00001d001914",0.208117792660877,0.795063538819714
"Zm00001d001915",0.473352062232111,0.661987929911393
"Zm00001d001917",0.958126445978854,0.922159786436868
"Zm00001d001923",0.958678123370781,0.906397908124292
"Zm00001d001928",0,0.428376381314922
"Zm00001d001929",0.351316098655894,0.74027814974825
"Zm00001d001932",0.507952103129502,0.588019105161842
"Zm00001d001933",0,0
"Zm00001d001935",0.442120772973636,0.421635011684636
"Zm00001d001936",0.6599523027902,0.374279236399291
"Zm00001d001937",0.361838948519656,0.215327745005987
"Zm00001d001939",0.583422329207581,0.428632075685703
"Zm00001d001940",0.0896219796155858,0.540403497168785
"Zm00001d001941",0.640968889534116,0.718520952419
"Zm00001d001943",0.428120334444038,0.394679772732192
"Zm00001d001946",0,0.214968298022887
"Zm00001d001947",0.427480869852087,0.588951808784045
"Zm00001d001949",0.254023212592958,0.108256611521168
"Zm00001d001951",0.125823478247685,0.284176715062099
"Zm00001d001952",0.459859359770045,0.375628484648185
"Zm00001d001953",0.582804916424839,0.592316241459834
"Zm00001d001959",0.503194987184309,0.374870252862415
"Zm00001d001960",0.471522843837084,0.752220854315703
"Zm00001d001962",0,0
"Zm00001d001966",0.434548837685229,0.536000356941748
"Zm00001d001967",0.59797356536045,0.820914104821024
"Zm00001d001968",0,0.241567688681085
"Zm00001d001972",0.65095090761051,0.513952853719137
"Zm00001d001973",0.249883059279671,0.617894415778346
"Zm00001d001974",0,0
"Zm00001d001978",0,0.426088272496121
"Zm00001d001979",0.213446007891438,0.508167688248928
"Zm00001d001980",0,0.150833614261342
"Zm00001d001982",0,0.136279086418385
"Zm00001d001983",0.178481749321262,0.32576931971464
"Zm00001d001984",0.685713531655674,0.74968632512691
"Zm00001d001987",0.528830664559803,0.459989241388583
"Zm00001d001988",0,0
"Zm00001d001989",0,0.288578953129492
"Zm00001d001994",0.405218450760094,0.152960218347161
"Zm00001d001997",0.347185177729583,0.100253197099604
"Zm00001d001999",0,0.258595957268519
"Zm00001d002000",0.738600136705293,0.755223599939872
"Zm00001d002003",0.637719769315354,0.365845948354513
"Zm00001d002004",0.157536329753509,0.412462723013731
"Zm00001d002006",0.015028396092713,0.40964109490252
"Zm00001d002012",0.671558278077103,0.534562594784659
"Zm00001d002013",0.452870626838464,0.585870735492008
"Zm00001d002014",0.192552430085908,0.493207307047535
"Zm00001d002018",0.553657892012993,0.318036435533639
"Zm00001d002019",0.249844414198123,0.538515862164684
"Zm00001d002020",0.117129962564037,0.442324484846724
"Zm00001d002021",0,0.128502307751335
"Zm00001d002022",0.486883113291624,0.405514539235691
"Zm00001d002024",0.364891577698337,0.229502499921977
"Zm00001d002025",0.118938907778312,0.203250488838738
"Zm00001d002026",0.50687589676447,0.0439866562902729
"Zm00001d002027",0.858322042660807,0.778049932443185
"Zm00001d002028",0.0638242193923842,0.0967810988273923
"Zm00001d002029",0.0385443402601682,0.44137979320577
"Zm00001d002033",0.41240960158445,0.714609916284412
"Zm00001d002034",0.395634726664705,0.424894265006991
"Zm00001d002035",0.770154697532309,0.594768517814957
"Zm00001d002036",0.0957507542960753,0.260572580656268
"Zm00001d002042",0.736725620472965,0.512181843486956
"Zm00001d002046",0.183405375076628,0.163348640295234
"Zm00001d002051",0.37069166176113,0.26727716357903
"Zm00001d002052",0.0953495333551118,0.155130353816643
"Zm00001d002053",0.638481007162388,0.572211620889223
"Zm00001d002054",0.737614335387509,0.556455156294848
"Zm00001d002058",0.444047915120797,0.288767140471994
"Zm00001d002063",0.601271930539742,0.547696573182552
"Zm00001d002064",0.445084061333239,0.477173880122656
"Zm00001d002065",0.322699878438357,0.552651098197364
"Zm00001d002066",0.0538007132668211,0.464095965942011
"Zm00001d002067",0,0.489706929264428
"Zm00001d002068",0.42921684355619,0.295551000792527
"Zm00001d002069",0.408928952166146,0.236785062590539
"Zm00001d002071",0.516055025748396,0.553838741454474
"Zm00001d002075",0,0.188532683589363
"Zm00001d002079",0.413545216580047,0.251041914434246
"Zm00001d002080",0.688975460940032,0.220023342445438
"Zm00001d002084",0.240824382455628,0.239279582494013
"Zm00001d002085",0.618774459719352,0.451087701882175
"Zm00001d002086",0.0918489900179001,0.389915649952616
"Zm00001d002087",0.247857801075662,0.583221684405077
"Zm00001d002089",0.0808871452308111,0.162398049629589
"Zm00001d002090",0.437598889991134,0.283649968385743
"Zm00001d002091",0.320864715372761,0.377562647194678
"Zm00001d002095",0.358339158308415,0.48035425250737
"Zm00001d002099",0.0506117435816497,0.25522792818629
"Zm00001d002103",0.499214155158311,0.502654663468688
"Zm00001d002104",0.559134734943133,0.456638555111062
"Zm00001d002105",0.675649872722927,0.373644145426285
"Zm00001d002111",0.186149408717852,0.826606882760488
"Zm00001d002115",0.250759864815724,0.524814167687028
"Zm00001d002119",0.708943519128228,0.72893084542027
"Zm00001d002121",0,0.442702831502292
"Zm00001d002122",0.179184058139171,0
"Zm00001d002125",0.435174052775036,0.436583274231872
"Zm00001d002126",0.464375886716368,0.401587245711911
"Zm00001d002128",0.206554883761371,0.056928571215058
"Zm00001d002132",0.481886089936755,0.606528983513566
"Zm00001d002133",0.0897854969461594,0.669575670645861
"Zm00001d002135",0.971398441657334,0.820470646064836
"Zm00001d002140",0.540381777669268,0.180821443868466
"Zm00001d002141",0.103790707992165,0.332052758214429
"Zm00001d002143",0.229540334686736,0.499879063246605
"Zm00001d002145",0,0.0407971831250051
"Zm00001d002147",0.746433235322185,0.878251585076553
"Zm00001d002148",0.314953291872349,0.531832303784867
"Zm00001d002149",0.312208993927452,0.503933553826128
"Zm00001d002153",0.362104567929098,0.666734389950293
"Zm00001d002154",0.253443144723634,0.443773025417086
"Zm00001d002155",0,0.490211690975181
"Zm00001d002156",0,0.763388605687083
"Zm00001d002158",0.110330821915753,0.355066967315941
"Zm00001d002159",0.317818740822039,0.383956295776836
"Zm00001d002160",0.273350342006959,0.337265986635263
"Zm00001d002161",0,0.160844288750006
"Zm00001d002163",0.612548570184021,0.402777606665872
"Zm00001d002166",0.251930147387566,0
"Zm00001d002167",0.580259548408474,0.46034143487555
"Zm00001d002168",0.571296212303761,0.403101733460942
"Zm00001d002169",0.238577492959703,0.294924208960956
"Zm00001d002175",0.0203564304148106,0.415753638898876
"Zm00001d002184",0.753304784700458,0.591016676223132
"Zm00001d002185",0.371321926364362,0.56907563259128
"Zm00001d002186",0.402090519104767,0.126110165314743
"Zm00001d002190",0.57129449208936,0.406543252283782
"Zm00001d002191",0.535951006400682,0.465261526666856
"Zm00001d002193",0,0.379355199629721
"Zm00001d002200",0.360086456751492,0.365794965883827
"Zm00001d002235",0.0895956090820972,0.247554416961968
"Zm00001d002240",0,0.105529145335839
"Zm00001d002241",0.61502436381178,0.170290720685675
"Zm00001d002243",0.241037252684104,0.479910048194
"Zm00001d002244",0.139135875896021,0.208820657578878
"Zm00001d002246",0.725303011130739,0.825497213540724
"Zm00001d002250",0.214429681543069,0
"Zm00001d002252",0.151057028792093,0.631432637863813
"Zm00001d002253",0.427358511301916,0.309451572433471
"Zm00001d002256",0.116767346310468,0.106425480358011
"Zm00001d002257",0.24398499196066,0.570395583890157
"Zm00001d002258",0.627909411853396,0.660372927188479
"Zm00001d002259",0,0.540528271464662
"Zm00001d002261",0.668137702999674,0.580067676342532
"Zm00001d002263",0.690422172480705,0.641950175485297
"Zm00001d002266",0.0222396632280892,0.522889251040736
"Zm00001d002267",0.190601247831231,0.398412401496559
"Zm00001d002272",0,0.0945208045818127
"Zm00001d002274",0.149030512921073,0.364611252665095
"Zm00001d002275",0,0
"Zm00001d002277",0.458981550299621,0.218375082288403
"Zm00001d002278",0.41816925050002,0.426141921598374
"Zm00001d002282",0.446155057223213,0.493156319176192
"Zm00001d002283",0.192318965139617,0.0171759998351231
"Zm00001d002284",0.535659513124808,0.227833038589516
"Zm00001d002285",0.330023112986615,0.409804746463598
"Zm00001d002287",0.0522216358733609,0.241184193080717
"Zm00001d002292",0.0582717592831946,0.449909238239952
"Zm00001d002295",0.702944533511182,0.498894042268937
"Zm00001d002296",0.520859043593759,0.739102157722959
"Zm00001d002313",0.0166649235860298,0.46227400111514
"Zm00001d002314",0.632198524856144,0.624234222395611
"Zm00001d002315",0.502932853473592,0.571526035181207
"Zm00001d002316",0.509060872138608,0.269705628719226
"Zm00001d002317",0.416278060904645,0.763627441044957
"Zm00001d002318",0.483935203228258,0.3922934841646
