gene_id,seqnames,start,end,width,strand,gene_source,gene_biotype,gene_name,symbol,root,characterized,cis_eqtl,pval_eqtl,cis_sqtl,pval_sqtl,ld,xpclr,fst,HbTrop,HbTemp,Diff,function,Label
Zm00001d027308,1,2562283,2565147,2865,-,gramene,protein_coding,,,False,False,,,,,,17.0221117198333,0.201299,NA,NA,#VALUE!,RING/U-box superfamily protein,N
Zm00001d027309,1,2629289,2635834,6546,-,gramene,protein_coding,,,True,False,1-2536949,3.46534900962951E-26,1-2537032,6.62584562087564E-87,0.999999999999999,18.9906373309927,0.217008428571429,0.012879204069403,0.327913280875514,24.4606790224354,Phosphoglucan phosphatase DSP4 chloroplastic,N
Zm00001d027310,1,2650836,2653089,2254,-,gramene,protein_coding,,,False,False,,,,,,17.9700239906539,0.23007975,NA,NA,#VALUE!,Protein decapping 5,N
Zm00001d027311,1,2746424,2749031,2608,+,gramene,protein_coding,,,True,False,1-2542363,1.02813218652028E-16,,,,17.0821185798904,0.191262333333333,0.40079415941261,0.193212033096919,-0.517927024235872,Probable glucuronoxylan glucuronosyltransferase IRX7,N
Zm00001d027312,1,2774054,2780630,6577,+,gramene,protein_coding,,rfwd3,False,True,,,,,,17.2385215149744,0.191262333333333,NA,NA,#VALUE!,Transducin/WD40 repeat-like superfamily protein,N
Zm00001d027313,1,2781142,2782403,1262,-,gramene,protein_coding,,,True,False,,,,,,16.8206421675627,0.189819,0.763629839053284,0.591441901982899,-0.225486129881798,Probable xyloglucan endotransglucosylase/hydrolase protein 32,N
Zm00001d027463,1,5883718,5886868,3151,+,gramene,protein_coding,,,True,False,,,,,,25.48250924,0.19538125,0.411158924018368,0.131211165305421,-0.68087482080394,Probable LRR receptor-like serine/threonine-protein kinase ,N
Zm00001d027464,1,5886936,5888408,1473,+,gramene,protein_coding,,,True,False,,,,,,25.48250924,0.19538125,NA,NA,#VALUE!,hydroxyproline-rich glycoprotein family protein,N
Zm00001d027465,1,5888817,5888890,74,-,gramene,tRNA,,,False,False,,,,,,25.48250924,0.19538125,NA,NA,#VALUE!,NA,N
ENSRNA049437518,1,5888817,5888890,74,-,Ensembl_Plants,tRNA,tRNA-Asn,,False,False,,,,,,25.48250924,0.19538125,NA,NA,#VALUE!,NA,N
Zm00001d027466,1,5893819,5906194,12376,-,gramene,protein_coding,,,True,False,1-5826656,8.4206483729403E-19,,,,26.2707895123333,0.196624,0.653425500320978,0.646482626680653,-0.010625348470353,Inner membrane protein ybaL  ,N
Zm00001d027467,1,5908533,5913510,4978,+,gramene,protein_coding,,,False,False,,,,,,26.0299382532857,0.194044428571429,NA,NA,#VALUE!,Importin beta-like SAD2 homolog,N
Zm00001d027468,1,5943755,5947624,3870,+,gramene,protein_coding,,,True,False,1-5870127,1.09665204898374E-31,,,,24.0784557858,0.1943625,0.647732659960766,0.54150837206381,-0.16399402788087,ADPATP carrier protein 3 mitochondrial,N
Zm00001d027469,1,6020779,6023318,2540,+,gramene,protein_coding,,,True,False,1-5872480,1.65719874805441E-30,1-5874616,1.22289784970282E-38,0.483096268810554,12.0662340066,0.229451333333333,0.610944726423565,0.588052348370083,-0.037470456922499,cytochrome c oxidase 19-2,N
Zm00001d027470,1,6027852,6032982,5131,-,gramene,protein_coding,,,False,False,,,,,,12.0662340066,0.229451333333333,NA,NA,#VALUE!,NA,N
Zm00001d027471,1,6034724,6035902,1179,+,gramene,protein_coding,,pco137023,True,False,,,,,,11.2248546751111,0.2395306,NA,NA,#VALUE!,Fasciclin-like arabinogalactan protein 10,N
Zm00001d027583,1,8414357,8418081,3725,-,gramene,protein_coding,,,False,False,,,,,,7.1279657595,0.19052775,NA,NA,#VALUE!,Probable protein phosphatase 2C 12,N
Zm00001d027585,1,8485866,8489268,3403,+,gramene,protein_coding,cyclin-dependent kinase inhibitor3,cki3,True,True,,,,,,7.55080007255556,0.210945,NA,NA,#VALUE!, cki3;cyclin-dependent kinase inhibitor3:,N
Zm00001d027790,1,13576388,13580832,4445,+,gramene,protein_coding,,,True,False,,,,,,6.74268812375533,0.1908442,NA,NA,#VALUE!,Cyclin-T1-5,N
Zm00001d027791,1,13592625,13600205,7581,-,gramene,protein_coding,,,False,False,,,,,,6.74268812375533,0.1924645,NA,NA,#VALUE!,NA,N
Zm00001d027792,1,13619804,13620061,258,+,gramene,protein_coding,,,False,False,,,,,,6.74268812375533,0.192921666666667,NA,NA,#VALUE!,NA,N
Zm00001d022675,1,14360126,14360607,482,+,gramene,lincRNA,,,False,False,,,,,,6.78186016445495,0.180149,NA,NA,#VALUE!,NA,N
Zm00001d027816,1,14361469,14365136,3668,+,gramene,protein_coding,,,True,False,,,,,,6.78186016445495,0.180149,0.313461541029988,0.106234301320094,-0.661093029240449,NA,N
Zm00001d027819,1,14448014,14448412,399,+,gramene,protein_coding,embryo surrounding region2,esr2,False,True,,,,,,7.01650589750118,0.190227555555556,NA,NA,#VALUE!, esr2;embryo surrounding region2: cDNA expressed 4 to 28 DAP in endosperm locally surrounding the embryo,N
Zm00001d027820,1,14479050,14479445,396,+,gramene,protein_coding,embryo surrounding region1,esr1,False,True,,,,,,7.3779468708761,0.192272166666667,NA,NA,#VALUE!, esr1;embryo surrounding region1: cDNA expressed 4 to 28 DAP in endosperm locally surrounding the embryo,N
