"","seqnames","start","end","width","strand","gene_id","gene_source","gene_biotype","gene_name","symbol","root","characterized","cis_eqtl","pval_eqtl","cis_sqtl","pval_sqtl","ld","xpclr","fst"
"1","1",2562283,2565147,2865,"-","Zm00001d027308","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,17.0221117198333,0.201299
"2","1",2629289,2635834,6546,"-","Zm00001d027309","gramene","protein_coding","","",TRUE,FALSE,"1-2536949",3.46534900962951e-26,"1-2537032",6.62584562087564e-87,0.999999999999999,18.9906373309927,0.217008428571429
"3","1",2650836,2653089,2254,"-","Zm00001d027310","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,17.9700239906539,0.23007975
"4","1",2746424,2749031,2608,"+","Zm00001d027311","gramene","protein_coding","","",TRUE,FALSE,"1-2542363",1.02813218652028e-16,NA,NA,NA,17.0821185798904,0.191262333333333
"5","1",2774054,2780630,6577,"+","Zm00001d027312","gramene","protein_coding","","rfwd3",FALSE,TRUE,NA,NA,NA,NA,NA,17.2385215149744,0.191262333333333
"6","1",2781142,2782403,1262,"-","Zm00001d027313","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,16.8206421675627,0.189819
"7","1",5883718,5886868,3151,"+","Zm00001d027463","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,25.48250924,0.19538125
"8","1",5886936,5888408,1473,"+","Zm00001d027464","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,25.48250924,0.19538125
"9","1",5888817,5888890,74,"-","Zm00001d027465","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,25.48250924,0.19538125
"10","1",5888817,5888890,74,"-","ENSRNA049437518","Ensembl_Plants","tRNA","tRNA-Asn","",FALSE,FALSE,NA,NA,NA,NA,NA,25.48250924,0.19538125
"11","1",5893819,5906194,12376,"-","Zm00001d027466","gramene","protein_coding","","",TRUE,FALSE,"1-5826656",8.4206483729403e-19,NA,NA,NA,26.2707895123333,0.196624
"12","1",5908533,5913510,4978,"+","Zm00001d027467","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,26.0299382532857,0.194044428571429
"13","1",5943755,5947624,3870,"+","Zm00001d027468","gramene","protein_coding","","",TRUE,FALSE,"1-5870127",1.09665204898374e-31,NA,NA,NA,24.0784557858,0.1943625
"14","1",6020779,6023318,2540,"+","Zm00001d027469","gramene","protein_coding","","",TRUE,FALSE,"1-5872480",1.65719874805441e-30,"1-5874616",1.22289784970282e-38,0.483096268810554,12.0662340066,0.229451333333333
"15","1",6027852,6032982,5131,"-","Zm00001d027470","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,12.0662340066,0.229451333333333
"16","1",6034724,6035902,1179,"+","Zm00001d027471","gramene","protein_coding","","pco137023",TRUE,FALSE,NA,NA,NA,NA,NA,11.2248546751111,0.2395306
"17","1",8414357,8418081,3725,"-","Zm00001d027583","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.1279657595,0.19052775
"18","1",8485866,8489268,3403,"+","Zm00001d027585","gramene","protein_coding","cyclin-dependent kinase inhibitor3","cki3",TRUE,TRUE,NA,NA,NA,NA,NA,7.55080007255556,0.210945
"19","1",13576388,13580832,4445,"+","Zm00001d027790","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,6.74268812375533,0.1908442
"20","1",13592625,13600205,7581,"-","Zm00001d027791","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.74268812375533,0.1924645
"21","1",13619804,13620061,258,"+","Zm00001d027792","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.74268812375533,0.192921666666667
"22","1",14360126,14360607,482,"+","Zm00001d022675","gramene","lincRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.78186016445495,0.180149
"23","1",14361469,14365136,3668,"+","Zm00001d027816","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,6.78186016445495,0.180149
"24","1",14448014,14448412,399,"+","Zm00001d027819","gramene","protein_coding","embryo surrounding region2","esr2",FALSE,TRUE,NA,NA,NA,NA,NA,7.01650589750118,0.190227555555556
